query	document	reference	score	query_type
What are the different names for Christ in the Book of Mormon?	For according to the words of the prophets, the Messiah cometh in six hundred years from the time that my father left Jerusalem; and according to the words of the prophets, and also the word of the angel of God, his name shall be Jesus Christ, the Son of God.	2 Nephi 25:19	3	factual
What are the different names for Christ in the Book of Mormon?	And moreover, I say unto you, that there shall be no other name given nor any other way nor means whereby salvation can come unto the children of men, only in and through the name of Christ, the Lord Omnipotent.	Mosiah 3:17	2	factual
What are the different names for Christ in the Book of Mormon?	And he shall be called Jesus Christ, the Son of God, the Father of heaven and earth, the Creator of all things from the beginning; and his mother shall be called Mary.	Mosiah 3:8	3	factual
What are the different names for Christ in the Book of Mormon?	Have they not read the scriptures, which say ye must take upon you the name of Christ, which is my name? For by this name shall ye be called at the last day;	3 Nephi 27:5	2	factual
What are the different names for Christ in the Book of Mormon?	And now it shall come to pass, that whosoever shall not take upon him the name of Christ must be called by some other name; therefore, he findeth himself on the left hand of God.	Mosiah 5:10	1	factual
What are the different names for Christ in the Book of Mormon?	Behold, I am he who was prepared from the foundation of the world to redeem my people. Behold, I am Jesus Christ. I am the Father and the Son. In me shall all mankind have life, and that eternally, even they who shall believe on my name; and they shall become my sons and my daughters.	Ether 3:14	3	factual
What are the different names for Christ in the Book of Mormon?	Behold, I am Jesus Christ the Son of God. I created the heavens and the earth, and all things that in them are. I was with the Father from the beginning. I am in the Father, and the Father in me; and in me hath the Father glorified his name.	3 Nephi 9:15	3	factual
What are the different names for Christ in the Book of Mormon?	And because he dwelleth in flesh he shall be called the Son of God, and having subjected the flesh to the will of the Father, being the Father and the Son—	Mosiah 15:2	2	factual
What are the different names for Christ in the Book of Mormon?	And there cometh a resurrection, even a first resurrection; yea, even a resurrection of those that have been, and who are, and who shall be, even until the resurrection of Christ—for so shall he be called.	Mosiah 15:21	1	factual
What are the different names for Christ in the Book of Mormon?	And under this head ye are made free, and there is no other head whereby ye can be made free. There is no other name given whereby salvation cometh; therefore, I would that ye should take upon you the name of Christ, all you that have entered into the covenant with God that ye should be obedient unto the end of your lives.	Mosiah 5:8	1	factual
What are the different names for Christ in the Book of Mormon?	And now, my brethren, I have spoken plainly that ye cannot err. And as the Lord God liveth that brought Israel up out of the land of Egypt, and gave unto Moses power that he should heal the nations after they had been bitten by the poisonous serpents, if they would cast their eyes unto the serpent which he did raise up before them, and also gave him power that he should smite the rock and the water should come forth; yea, behold I say unto you, that as these things are true, and as the Lord God liveth, there is none other name given under heaven save it be this Jesus Christ, of which I have spoken, whereby man can be saved.	2 Nephi 25:20	2	factual
What are the different names for Christ in the Book of Mormon?	Wherefore, as I said unto you, it must needs be expedient that Christ—for in the last night the angel spake unto me that this should be his name—should come among the Jews, among those who are the more wicked part of the world; and they shall crucify him—for thus it behooveth our God, and there is none other nation on earth that would crucify their God.	2 Nephi 10:3	2	factual
